scientificName,family,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate
Taxidea taxus,Mustelidae,38.2553,-122.6978,,2007-08-29
Taxidea taxus,Mustelidae,31.164,-101.3371,,2007-04-25
Taxidea taxus,Mustelidae,42.9904,-107.5697,355468.0,1974-02-05
Taxidea taxus,Mustelidae,37.0364,-106.8428,3036.0,1913-07-06
Taxidea taxus,Mustelidae,36.9038,-116.829,830.42,1916-12-15
Taxidea taxus,Mustelidae,39.4402,-118.8808,24425.01,1941-01-25
Taxidea taxus,Mustelidae,37.8754,-119.3555,30.0,1915-07-07
Taxidea taxus,Mustelidae,41.8508,-120.0275,10132.43,1916-04-02
Taxidea taxus,Mustelidae,36.585,-121.7958,321.87,1970-03-27
Taxidea taxus,Mustelidae,32.1518,-109.4815,899.62,1921-03-18
Taxidea taxus,Mustelidae,39.0171,-114.1078,17728.53,1929-05-26
Taxidea taxus,Mustelidae,37.9211,-122.7036,3188.11,1930-11-20
Taxidea taxus,Mustelidae,41.8998,-114.5006,428.09,1935-07-15
Taxidea taxus,Mustelidae,42.8712,-112.4453,8383.07,1931-01-15
Taxidea taxus,Mustelidae,37.4066,-118.224,1000.0,1917-07-21
Taxidea taxus,Mustelidae,39.4248,-117.2268,428.09,1926-12-06
Taxidea taxus,Mustelidae,37.8754,-119.3555,30.0,1915-07-10
Taxidea taxus,Mustelidae,41.6417,-118.6959,2428.0,1909-08-06
Taxidea taxus,Mustelidae,39.0151,-117.1807,428.09,1927-01-12
Taxidea taxus,Mustelidae,34.0093,-117.2597,4313.04,1908-07-26
Taxidea taxus,Mustelidae,37.8793,-119.3957,645.35,1915-07-30
Taxidea taxus,Mustelidae,35.5674,-120.2846,3218.69,1947-01-25
Taxidea taxus,Mustelidae,37.5575,-122.4219,8046.72,1933-09-30
Taxidea taxus,Mustelidae,40.0364,-107.9538,5000.0,1938-02-15
Taxidea taxus,Mustelidae,38.0442,-122.7982,177.03,1951-06-07
Taxidea taxus,Mustelidae,42.1887,-120.3455,1462.89,1929-12-02
Taxidea taxus,Mustelidae,37.4061,-118.2352,645.35,1917-07-21
Taxidea taxus,Mustelidae,37.7999,-117.8423,428.09,1928-06-24
Taxidea taxus,Mustelidae,37.7379,-118.0543,186.68,1928-06-02
Taxidea taxus,Mustelidae,38.1925,-122.6001,6793.04,1949-07-20
Taxidea taxus,Mustelidae,37.7999,-117.8423,428.09,1928-06-20
Taxidea taxus,Mustelidae,42.8712,-112.4453,8383.07,1931-01-15
Taxidea taxus,Mustelidae,34.1086,-116.159,3271.8,1951-04-08
Taxidea taxus,Mustelidae,35.3639,-120.5542,8.6,1996-04-09
Taxidea taxus,Mustelidae,24.0612,-110.3923,,1929-03-12
Taxidea taxus,Mustelidae,35.1525,-115.3314,1000.0,1938-06-05
Taxidea taxus,Mustelidae,33.4463,-114.7313,289.68,1914-12-16
Taxidea taxus,Mustelidae,37.1227,-120.7987,804.67,1930-07-31
Taxidea taxus,Mustelidae,42.717,-112.3764,3233.17,1930-05-26
Taxidea taxus,Mustelidae,44.6634,-120.9519,13450.9,1929-11-07
Taxidea taxus,Mustelidae,38.9324,-115.7142,4853.78,1916-10-07
Taxidea taxus,Mustelidae,38.3435,-114.8537,16119.19,1930-08-13
Taxidea taxus,Mustelidae,38.1009,-122.9119,5283.48,1913-06-02
Taxidea taxus,Mustelidae,41.8888,-120.0968,2962.8,1916-04-16
Taxidea taxus,Mustelidae,42.8712,-112.4453,8383.07,1931-01-15
Taxidea taxus,Mustelidae,37.7965,-122.1722,2922.57,1930-03-23
Taxidea taxus,Mustelidae,33.9294,-116.882,1609.34,1908-06-14
Taxidea taxus,Mustelidae,39.4589,-118.908,34171.2,1940-12-02
Taxidea taxus,Mustelidae,40.5721,-115.5431,12900.5,1929-03-18
Taxidea taxus,Mustelidae,24.0612,-110.3923,,1929-03-23
Taxidea taxus,Mustelidae,41.4823,-115.8165,428.09,1916-08-21
Taxidea taxus,Mustelidae,39.3634,-101.3769,,1931-12-31
Taxidea taxus,Mustelidae,39.0285,-95.1701,,1958-12-15
Taxidea taxus,Mustelidae,37.1533,-98.031,,1959-12-29
Taxidea taxus,Mustelidae,39.0633,-101.2442,,1894-02-22
Taxidea taxus,Mustelidae,39.3914,-118.8829,,1942-09-28
Taxidea taxus,Mustelidae,43.9021,-100.712,,1966-06-17
Taxidea taxus,Mustelidae,39.3634,-101.3769,,1931-12-24
Taxidea taxus,Mustelidae,44.4828,-109.3398,,1950-02-04
Taxidea taxus,Mustelidae,27.0016,-108.8081,,1959-01-22
Taxidea taxus,Mustelidae,32.3088,-110.9263,,1950-07-16
